Ticker,Company,Country,BICS_L1,BICS_L2,BICS_L3,tags_en,tags_it
GPC,GENUINE PARTS CO,US,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,consumer;retail;autos,consumi;retail;auto
JPM,JPMORGAN CHASE & CO,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
EOG,EOG RESOURCES INC,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
RVTY,REVVITY INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
WTBA,WEST BANCORPORATION,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
EXTR,EXTREME NETWORKS INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
IPGP,IPG PHOTONICS CORP,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
LDOS,LEIDOS HOLDINGS INC,US,Technology,Software & Tech Services,IT Services,other,altro
JJSF,J & J SNACK FOODS CORP,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
PPIH,PERMA-PIPE INTERNATIONAL HOL,US,Industrials,Industrial Services,Engineering & Construction,industrials;manufacturing;transport,industria;manifattura;trasporti
AMPL,AMPLITUDE INC-CLASS A,US,Technology,Software & Tech Services,Software,other,altro
SO,SOUTHERN CO/THE,US,Utilities,Utilities,Electric Utilities,utilities;electricity;water,utilities;elettricità;acqua
NKTR,NEKTAR THERAPEUTICS,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
TAP,MOLSON COORS BEVERAGE CO - B,US,Consumer Staples,Consumer Staple Products,Beverages,food;beverages;household,alimentari;bevande;casa
BYRN,BYRNA TECHNOLOGIES INC,US,Industrials,Industrial Products,Aerospace & Defense,industrials;manufacturing;transport,industria;manifattura;trasporti
ALKT,ALKAMI TECHNOLOGY INC,US,Technology,Software & Tech Services,Software,other,altro
ASTS,AST SPACEMOBILE INC,US,Communications,Telecommunications,Telecommunications,other,altro
VREX,VAREX IMAGING CORP,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
POLE,ANDRETTI ACQUISITION CORP -A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
OPCH,OPTION CARE HEALTH INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
JBIO,JADE BIOSCIENCES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
SONO,SONOS INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
TNDM,TANDEM DIABETES CARE INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
NRIM,NORTHRIM BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
DJCO,DAILY JOURNAL CORP,US,Technology,Software & Tech Services,Software,other,altro
RVMD,REVOLUTION MEDICINES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
YMAB,Y-MABS THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ALCO,ALICO INC,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
PENN,PENN ENTERTAINMENT INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
FFIV,F5 INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
SCSC,SCANSOURCE INC,US,Consumer Discretionary,Retail & Whsle - Discretionary,Wholesale - Discretionary,consumer;retail;autos,consumi;retail;auto
APPS,DIGITAL TURBINE INC,US,Technology,Software & Tech Services,Software,other,altro
IEX,IDEX CORP,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
REGN,REGENERON PHARMACEUTICALS,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CBSH,COMMERCE BANCSHARES INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
MAA,MID-AMERICA APARTMENT COMM,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
TER,TERADYNE INC,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
ACNB,ACNB CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
GH,GUARDANT HEALTH INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
FBYD,FALCON'S BEYOND GLOBAL INC-A,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
CGNX,COGNEX CORP,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
OXY,OCCIDENTAL PETROLEUM CORP,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
PGC,PEAPACK GLADSTONE FINL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
NWPX,NWPX INFRASTRUCTURE INC,US,Materials,Materials,Construction Materials,materials;chemicals;metals,materiali;chimica;metalli
PKOH,PARK-OHIO HOLDINGS CORP,US,Industrials,Industrial Products,Industrial Intermediate Prod,industrials;manufacturing;transport,industria;manifattura;trasporti
YORW,YORK WATER CO,US,Utilities,Utilities,Gas & Water Utilities,utilities;electricity;water,utilities;elettricità;acqua
LFCR,LIFECORE BIOMEDICAL INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CASS,CASS INFORMATION SYSTEMS INC,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
MNRO,MONRO INC,US,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,consumer;retail;autos,consumi;retail;auto
TYRA,TYRA BIOSCIENCES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
INOD,INNODATA INC,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
NUTX,NUTEX HEALTH INC,US,Technology,Software & Tech Services,Software,other,altro
UVSP,UNIVEST FINANCIAL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
TKNO,ALPHA TEKNOVA INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CLOV,CLOVER HEALTH INVESTMENTS CO,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ALF,CENTURION ACQUISITION CORP,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
RUSHA,RUSH ENTERPRISES INC-CL A,US,Industrials,Industrial Services,Industrial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
MFIN,MEDALLION FINANCIAL CORP,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
ROKU,ROKU INC,US,Communications,Media,Entertainment Content,other,altro
PINC,PREMIER INC-CLASS A,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
GSHR,GESHER ACQUISITION CORP II-A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
VLY,VALLEY NATIONAL BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
DELL,DELL TECHNOLOGIES -C,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
KNSA,KINIKSA PHARMACEUTICALS INTE,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
INDI,INDIE SEMICONDUCTOR INC-A,US,Consumer Discretionary,Consumer Discretionary Products,Automotive,consumer;retail;autos,consumi;retail;auto
CZNC,CITIZENS & NORTHERN CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
SZZL,SIZZLE ACQUISITION CORP-CL A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
VITL,VITAL FARMS INC,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
HWKN,HAWKINS INC,US,Materials,Materials,Chemicals,materials;chemicals;metals,materiali;chimica;metalli
DHIL,DIAMOND HILL INVESTMENT GRP,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
CMG,CHIPOTLE MEXICAN GRILL INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
NOVT,NOVANTA INC,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
PCB,PCB BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
TVTX,TRAVERE THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CECO,CECO ENVIRONMENTAL CORP,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
AGIO,AGIOS PHARMACEUTICALS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
QNST,QUINSTREET INC,US,Communications,Media,Advertising & Marketing,other,altro
LMB,LIMBACH HOLDINGS INC,US,Industrials,Industrial Services,Engineering & Construction,industrials;manufacturing;transport,industria;manifattura;trasporti
PMTR,PERIMETER ACQUIS CORP I CL A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
KRNY,KEARNY FINANCIAL CORP/MD,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
WDAY,WORKDAY INC-CLASS A,US,Technology,Software & Tech Services,Software,other,altro
JACK,JACK IN THE BOX INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
PTEN,PATTERSON-UTI ENERGY INC,US,Energy,Oil & Gas,Oil & Gas Services & Equip,oil;gas;energy,petrolio;gas;energia
CSTL,CASTLE BIOSCIENCES INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
FOX,FOX CORP - CLASS B,US,Communications,Media,Entertainment Content,other,altro
WEST,WESTROCK COFFEE CO,US,Consumer Staples,Consumer Staple Products,Beverages,food;beverages;household,alimentari;bevande;casa
DGII,DIGI INTERNATIONAL INC,US,Technology,Software & Tech Services,Software,other,altro
DIS,WALT DISNEY CO/THE,US,Communications,Media,Entertainment Content,other,altro
BLDE,BLADE AIR MOBILITY INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
OVLY,OAK VALLEY BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
METCB,RAMACO RESOURCES INC-B,US,Materials,Materials,Metals & Mining,materials;chemicals;metals,materiali;chimica;metalli
NWFL,NORWOOD FINANCIAL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
CIVB,CIVISTA BANCSHARES INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
RRBI,RED RIVER BANCSHARES INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
RGTI,RIGETTI COMPUTING INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
CFFN,CAPITOL FEDERAL FINANCIAL IN,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
OMC,OMNICOM GROUP,US,Communications,Media,Advertising & Marketing,other,altro
CRDO,CREDO TECHNOLOGY GROUP HOLDI,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
FINW,FINWISE BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
FFIC,FLUSHING FINANCIAL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
ADP,AUTOMATIC DATA PROCESSING,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
FTNT,FORTINET INC,US,Technology,Software & Tech Services,Software,other,altro
LPAA,LAUNCH ONE ACQUISITION CORP,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
HUT,HUT 8 CORP,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
TSLA,TESLA INC,US,Consumer Discretionary,Consumer Discretionary Products,Automotive,consumer;retail;autos,consumi;retail;auto
CCB,COASTAL FINANCIAL CORP/WA,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
ISTR,INVESTAR HOLDING CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
COLL,COLLEGIUM PHARMACEUTICAL INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
IAS,INTEGRAL AD SCIENCE HOLDING,US,Technology,Software & Tech Services,IT Services,other,altro
IAC,IAC INC,US,Communications,Media,Internet Media & Services,other,altro
FBLA,FB BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
BDX,BECTON DICKINSON AND CO,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
SANA,SANA BIOTECHNOLOGY INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
TTWO,TAKE-TWO INTERACTIVE SOFTWRE,US,Communications,Media,Entertainment Content,other,altro
MVIS,MICROVISION INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
TTEK,TETRA TECH INC,US,Industrials,Industrial Services,Engineering & Construction,industrials;manufacturing;transport,industria;manifattura;trasporti
PRCT,PROCEPT BIOROBOTICS CORP,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ILMN,ILLUMINA INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
DAL,DELTA AIR LINES INC,US,Industrials,Industrial Services,Transportation & Logistics,industrials;manufacturing;transport,industria;manifattura;trasporti
HCA,HCA HEALTHCARE INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
COIN,COINBASE GLOBAL INC -CLASS A,US,Financials,Financial Services,Institutional Financial Svcs,banks;insurance;finance,banche;assicurazioni;finanza
AXGN,AXOGEN INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
SLDP,SOLID POWER INC,US,Consumer Discretionary,Consumer Discretionary Products,Automotive,consumer;retail;autos,consumi;retail;auto
DH,DEFINITIVE HEALTHCARE CORP,US,Technology,Software & Tech Services,Software,other,altro
AACB,ARTIUS II ACQUISITION INC-A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
WSC,WILLSCOT HOLDINGS CORP,US,Industrials,Industrial Services,Industrial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
DBX,DROPBOX INC-CLASS A,US,Technology,Software & Tech Services,Software,other,altro
OLED,UNIVERSAL DISPLAY CORP,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
FNLC,FIRST BANCORP INC/ME,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
WLFC,WILLIS LEASE FINANCE CORP,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
BZAI,BLAIZE HOLDINGS INC,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
NOW,SERVICENOW INC,US,Technology,Software & Tech Services,Software,other,altro
GERN,GERON CORP,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
EDIT,EDITAS MEDICINE INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
PLUS,EPLUS INC,US,Consumer Discretionary,Retail & Whsle - Discretionary,Wholesale - Discretionary,consumer;retail;autos,consumi;retail;auto
ZEUS,OLYMPIC STEEL INC,US,Materials,Materials,Steel,materials;chemicals;metals,materiali;chimica;metalli
EBC,EASTERN BANKSHARES INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
MBUU,MALIBU BOATS INC - A,US,Consumer Discretionary,Consumer Discretionary Products,Leisure Products,consumer;retail;autos,consumi;retail;auto
SCHL,SCHOLASTIC CORP,US,Communications,Media,Publishing & Broadcasting,other,altro
RR,RICHTECH ROBOTICS INC-CL B,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
PLPC,PREFORMED LINE PRODUCTS CO,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
EA,ELECTRONIC ARTS INC,US,Communications,Media,Entertainment Content,other,altro
PLAB,PHOTRONICS INC,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
EEFT,EURONET WORLDWIDE INC,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
TRMK,TRUSTMARK CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
HSIC,HENRY SCHEIN INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
HCKT,HACKETT GROUP INC/THE,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
WASH,WASHINGTON TRUST BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
GDRX,GOODRX HOLDINGS INC-CLASS A,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
HLT,HILTON WORLDWIDE HOLDINGS IN,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
ZBH,ZIMMER BIOMET HOLDINGS INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
DPZ,DOMINO'S PIZZA INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
SPTN,SPARTANNASH CO,US,Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,food;beverages;household,alimentari;bevande;casa
AVBH,AVIDBANK HOLDINGS INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
MCW,MISTER CAR WASH INC,US,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,consumer;retail;autos,consumi;retail;auto
NEGG,NEWEGG COMMERCE INC,US,Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,consumer;retail;autos,consumi;retail;auto
MGRM,MONOGRAM TECHNOLOGIES INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CAEP,CANTOR EQUITY PARTNERS III-A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
RMBS,RAMBUS INC,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
COLM,COLUMBIA SPORTSWEAR CO,US,Consumer Discretionary,Consumer Discretionary Products,Apparel & Textile Products,consumer;retail;autos,consumi;retail;auto
RICK,RCI HOSPITALITY HOLDINGS INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
ITIC,INVESTORS TITLE CO,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
SHBI,SHORE BANCSHARES INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
BBOT,BRIDGEBIO ONCOLOGY THERAPEUT,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CMPO,COMPOSECURE INC-A,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
PFE,PFIZER INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
GLPI,GAMING AND LEISURE PROPERTIE,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
AMRK,A-MARK PRECIOUS METALS INC,US,Materials,Materials,Metals & Mining,materials;chemicals;metals,materiali;chimica;metalli
CLDX,CELLDEX THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
C,CITIGROUP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
OSIS,OSI SYSTEMS INC,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
CTLP,CANTALOUPE INC,US,Technology,Software & Tech Services,Software,other,altro
BX,BLACKSTONE INC,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
ORKA,ORUKA THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CARG,CARGURUS INC,US,Communications,Media,Internet Media & Services,other,altro
CHRD,CHORD ENERGY CORP,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
TSBK,TIMBERLAND BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
TKO,TKO GROUP HOLDINGS INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
SJM,JM SMUCKER CO/THE,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
SNDK,SANDISK CORP,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
UNIT,UNITI GROUP INC,US,Industrials,Industrial Services,Engineering & Construction,industrials;manufacturing;transport,industria;manifattura;trasporti
FICO,FAIR ISAAC CORP,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
CWST,CASELLA WASTE SYSTEMS INC-A,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
LOPE,GRAND CANYON EDUCATION INC,US,Consumer Discretionary,Consumer Discretionary Services,Consumer Services,consumer;retail;autos,consumi;retail;auto
ATEC,ALPHATEC HOLDINGS INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
GT,GOODYEAR TIRE & RUBBER CO,US,Consumer Discretionary,Consumer Discretionary Products,Automotive,consumer;retail;autos,consumi;retail;auto
AJG,ARTHUR J GALLAGHER & CO,US,Financials,Insurance,Insurance,banks;insurance;finance,banche;assicurazioni;finanza
WVE,WAVE LIFE SCIENCES LTD,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CTKB,CYTEK BIOSCIENCES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
WERN,WERNER ENTERPRISES INC,US,Industrials,Industrial Services,Transportation & Logistics,industrials;manufacturing;transport,industria;manifattura;trasporti
NWS,NEWS CORP - CLASS B,US,Communications,Media,Publishing & Broadcasting,other,altro
TXG,10X GENOMICS INC-CLASS A,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
VKTX,VIKING THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
OPOF,OLD POINT FINANCIAL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
HFWA,HERITAGE FINANCIAL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
KRYS,KRYSTAL BIOTECH INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
BMY,BRISTOL-MYERS SQUIBB CO,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
NVAX,NOVAVAX INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
IBEX,IBEX LTD,US,Technology,Software & Tech Services,Software,other,altro
CGCT,CARTESIAN GROWTH CORP I-CL A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
CRAI,CRA INTERNATIONAL INC,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
BAND,BANDWIDTH INC-CLASS A,US,Technology,Software & Tech Services,Software,other,altro
GSBC,GREAT SOUTHERN BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
OSPN,ONESPAN INC,US,Technology,Software & Tech Services,Software,other,altro
BANR,BANNER CORPORATION,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
ADEA,ADEIA INC,US,Technology,Software & Tech Services,Software,other,altro
LGIH,LGI HOMES INC,US,Consumer Discretionary,Consumer Discretionary Products,Home Construction,consumer;retail;autos,consumi;retail;auto
WENN,WEN ACQUISITION CORP-A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
ZD,ZIFF DAVIS INC,US,Communications,Media,Internet Media & Services,other,altro
