Ticker,Name,Market Cap,GICS Sector,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,Cntry Terrtry Of Dom,Security
PENN US Equity,PENN ENTERTAINMENT INC,"2726637922,56","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Casinos & Gaming,Casinos,US,Penn Entertainment Inc
FFIV US Equity,F5 INC,"18168242545,21","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Data Networking Equipment,US,F5 Inc
SCSC US Equity,SCANSOURCE INC,"964832478,84","45,00",Consumer Discretionary,Retail & Whsle - Discretionary,Wholesale - Discretionary,Other Wholesalers,#N/A N/A,US,ScanSource Inc
APPS US Equity,DIGITAL TURBINE INC,"449809027,34","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,Digital Turbine Inc
IEX US Equity,IDEX CORP,"12330551281,62","20,00",Industrials,Industrial Products,Machinery,Flow Control Equipment,#N/A N/A,US,IDEX Corp
REGN US Equity,REGENERON PHARMACEUTICALS,"60827252838,22","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Regeneron Pharmaceuticals Inc
CBSH US Equity,COMMERCE BANCSHARES INC,"8221171634,59","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Commerce Bancshares Inc/MO
MAA US Equity,MID-AMERICA APARTMENT COMM,"16396983302,46","60,00",Real Estate,Real Estate,REIT,Residential REIT,Apartment REIT,US,Mid-America Apartment Communit
TER US Equity,TERADYNE INC,"17563309250,66","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,Back End Capital Equipment,US,Teradyne Inc
ACNB US Equity,ACNB CORP,"461726636,37","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,ACNB Corp
GH US Equity,GUARDANT HEALTH INC,"7416257468,02","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,In Vitro Diagnostics,US,Guardant Health Inc
FBYD US Equity,FALCON'S BEYOND GLOBAL INC-A,"841276571,31","20,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Entertainment Facilities,#N/A N/A,US,Falcon's Beyond Global Inc
CGNX US Equity,COGNEX CORP,"7221336138,29","45,00",Industrials,Industrial Products,Electrical Equipment,Electrical Components,Industrial Electronics Equip,US,Cognex Corp
OXY US Equity,OCCIDENTAL PETROLEUM CORP,"43522080092,54","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Exploration & Production,Crude Oil & Natural Gas E&P,US,Occidental Petroleum Corp
PGC US Equity,PEAPACK GLADSTONE FINL CORP,"473155498,08","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Peapack-Gladstone Financial Co
NWPX US Equity,NWPX INFRASTRUCTURE INC,"493989124,26","20,00",Materials,Materials,Construction Materials,Building Materials,#N/A N/A,US,NWPX Infrastructure Inc
PKOH US Equity,PARK-OHIO HOLDINGS CORP,"281857858,26","20,00",Industrials,Industrial Products,Industrial Intermediate Prod,Fabricated Metal & Hardware,#N/A N/A,US,Park-Ohio Holdings Corp
YORW US Equity,YORK WATER CO,"442874332,47","55,00",Utilities,Utilities,Gas & Water Utilities,Water Utilities,Water Supply Networks,US,York Water Co/The
LFCR US Equity,LIFECORE BIOMEDICAL INC,"276818604,17","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Contract Research,US,Lifecore Biomedical Inc
CASS US Equity,CASS INFORMATION SYSTEMS INC,"556129556,68","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,US,Cass Information Systems Inc
MNRO US Equity,MONRO INC,"465872757,54","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Automotive Retailers,Auto Repair Centers,US,Monro Inc
TYRA US Equity,TYRA BIOSCIENCES INC,"576142105,76","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Tyra Biosciences Inc
INOD US Equity,INNODATA INC,"1260449777,07","20,00",Industrials,Industrial Services,Commercial Support Services,Professional Services,Mgmt & Admin Consulting Svcs,US,Innodata Inc
NUTX US Equity,NUTEX HEALTH INC,"525236234,75","35,00",Technology,Software & Tech Services,Software,Application Software,Analytics & Visualization,US,Nutex Health Inc
UVSP US Equity,UNIVEST FINANCIAL CORP,"868188861,12","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Univest Financial Corp
TKNO US Equity,ALPHA TEKNOVA INC,"236001878,30","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Alpha Teknova Inc
CLOV US Equity,CLOVER HEALTH INVESTMENTS CO,"1337657704,35","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Managed Care,Managed Care Govt Business,US,Clover Health Investments Corp
ALF US Equity,CENTURION ACQUISITION CORP,"377703133,23",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Centurion Acquisition Corp
RUSHA US Equity,RUSH ENTERPRISES INC-CL A,"4390217208,40","20,00",Industrials,Industrial Services,Industrial Support Services,Industrial Wholesale & Rental,Industrial Machinery Whslrs,US,Rush Enterprises Inc
MFIN US Equity,MEDALLION FINANCIAL CORP,"238045107,00","40,00",Financials,Financial Services,Specialty Finance,Consumer Finance,#N/A N/A,US,Medallion Financial Corp
ROKU US Equity,ROKU INC,"13603037614,66","50,00",Communications,Media,Entertainment Content,Film & TV,Film & TV Production & Distr,US,Roku Inc
PINC US Equity,PREMIER INC-CLASS A,"2011625712,18","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,#N/A N/A,US,Premier Inc
GSHR US Equity,GESHER ACQUISITION CORP II-A,"207609188,40",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Gesher Acquisition Corp II
VLY US Equity,VALLEY NATIONAL BANCORP,"5490863235,06","40,00",Financials,Banking,Banking,Banks,Corporate Banking,US,Valley National Bancorp
DELL US Equity,DELL TECHNOLOGIES -C,"93769481158,31","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Computer Hardware & Storage,Personal Computers,US,Dell Technologies Inc
KNSA US Equity,KINIKSA PHARMACEUTICALS INTE,"2498910655,42","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Kiniksa Pharmaceuticals Intern
INDI US Equity,INDIE SEMICONDUCTOR INC-A,"946839144,44","45,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Auto Electrical & Electronics,US,indie Semiconductor Inc
CZNC US Equity,CITIZENS & NORTHERN CORP,"300058999,99","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Citizens & Northern Corp
SZZL US Equity,SIZZLE ACQUISITION CORP-CL A,"314580190,02",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Sizzle Acquisition Corp II
VITL US Equity,VITAL FARMS INC,"2207487480,19","30,00",Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,#N/A N/A,US,Vital Farms Inc
HWKN US Equity,HAWKINS INC,"3623852263,63","15,00",Materials,Materials,Chemicals,Specialty Chemicals,#N/A N/A,US,Hawkins Inc
DHIL US Equity,DIAMOND HILL INVESTMENT GRP,"386291146,50","40,00",Financials,Financial Services,Asset Management,Investment Management,#N/A N/A,US,Diamond Hill Investment Group
CMG US Equity,CHIPOTLE MEXICAN GRILL INC,"58167592732,22","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Limited Service Restaurants,US,Chipotle Mexican Grill Inc
NOVT US Equity,NOVANTA INC,"4325109775,89","45,00",Industrials,Industrial Products,Electrical Equipment,Electrical Components,#N/A N/A,US,Novanta Inc
PCB US Equity,PCB BANCORP,"309664410,07","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,PCB Bancorp
TVTX US Equity,TRAVERE THERAPEUTICS INC,"1673132933,01","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Travere Therapeutics Inc
CECO US Equity,CECO ENVIRONMENTAL CORP,"1645583661,39","20,00",Industrials,Industrial Products,Machinery,Pollution Control Equipment,Air Purification Equipment,US,CECO Environmental Corp
AGIO US Equity,AGIOS PHARMACEUTICALS INC,"2175901893,43","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Agios Pharmaceuticals Inc
QNST US Equity,QUINSTREET INC,"839471361,46","50,00",Communications,Media,Advertising & Marketing,Advertising & Marketing,Advertising Agencies & Svcs,US,QuinStreet Inc
LMB US Equity,LIMBACH HOLDINGS INC,"1354988914,20","20,00",Industrials,Industrial Services,Engineering & Construction,Building Construction,#N/A N/A,US,Limbach Holdings Inc
PMTR US Equity,PERIMETER ACQUIS CORP I CL A,"315961375,00",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Perimeter Acquisition Corp I
KRNY US Equity,KEARNY FINANCIAL CORP/MD,"389415502,04","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Kearny Financial Corp/MD
WDAY US Equity,WORKDAY INC-CLASS A,"61903951629,64","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,US,Workday Inc
JACK US Equity,JACK IN THE BOX INC,"354613663,45","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Limited Service Restaurants,US,Jack in the Box Inc
PTEN US Equity,PATTERSON-UTI ENERGY INC,"2076052784,35","10,00",Energy,Oil & Gas,Oil & Gas Services & Equip,Drilling & Drilling Support,Onshore Drilling,US,Patterson-UTI Energy Inc
CSTL US Equity,CASTLE BIOSCIENCES INC,"596410241,87","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,US,Castle Biosciences Inc
FOX US Equity,FOX CORP - CLASS B,"24514004555,06","50,00",Communications,Media,Entertainment Content,Film & TV,TV Media Networks,US,Fox Corp
WEST US Equity,WESTROCK COFFEE CO,"602343318,76","30,00",Consumer Staples,Consumer Staple Products,Beverages,Non-Alcoholic Beverages,Coffee,US,Westrock Coffee Co
DGII US Equity,DIGI INTERNATIONAL INC,"1242108175,73","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,Digi International Inc
DIS US Equity,WALT DISNEY CO/THE,"209549193723,01","50,00",Communications,Media,Entertainment Content,Film & TV,TV Media Networks,US,Walt Disney Co/The
BLDE US Equity,BLADE AIR MOBILITY INC,"340670679,08","20,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Outpatient Health Services,US,Blade Air Mobility Inc
OVLY US Equity,OAK VALLEY BANCORP,"231387321,94","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Oak Valley Bancorp
METCB US Equity,RAMACO RESOURCES INC-B,"1419800254,24","15,00",Materials,Materials,Metals & Mining,Coal Mining,Thermal Coal,US,Ramaco Resources Inc
NWFL US Equity,NORWOOD FINANCIAL CORP,"231446757,13","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Norwood Financial Corp
CIVB US Equity,CIVISTA BANCSHARES INC,"384133151,52","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Civista Bancshares Inc
RRBI US Equity,RED RIVER BANCSHARES INC,"420225761,29","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Red River Bancshares Inc
RGTI US Equity,RIGETTI COMPUTING INC,"5390866505,05","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Computer Hardware & Storage,Supercomputers,US,Rigetti Computing Inc
CFFN US Equity,CAPITOL FEDERAL FINANCIAL IN,"810881761,86","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Capitol Federal Financial Inc
OMC US Equity,OMNICOM GROUP,"14753935935,67","50,00",Communications,Media,Advertising & Marketing,Advertising & Marketing,Advertising Agencies & Svcs,US,Omnicom Group Inc
CRDO US Equity,CREDO TECHNOLOGY GROUP HOLDI,"20380751121,23","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,#N/A N/A,US,Credo Technology Group Holding
FINW US Equity,FINWISE BANCORP,"249429803,81","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Finwise Bancorp
FFIC US Equity,FLUSHING FINANCIAL CORP,"432701804,95","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Flushing Financial Corp
ADP US Equity,AUTOMATIC DATA PROCESSING,"122586304454,11","20,00",Industrials,Industrial Services,Commercial Support Services,Professional Services,Other Professional Services,US,Automatic Data Processing Inc
FTNT US Equity,FORTINET INC,"61883646462,00","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Security Software,US,Fortinet Inc
LPAA US Equity,LAUNCH ONE ACQUISITION CORP,"240234992,98",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Launch One Acquisition Corp
HUT US Equity,HUT 8 CORP,"2576992009,81","45,00",Financials,Financial Services,Asset Management,Investment Companies,Cryptocurrency Investment Co,US,Hut 8 Corp
TSLA US Equity,TESLA INC,"1081041461449,19","25,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Automobiles,Cars,US,Tesla Inc
CCB US Equity,COASTAL FINANCIAL CORP/WA,"1600808039,39","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Coastal Financial Corp/WA
ISTR US Equity,INVESTAR HOLDING CORP,"218864019,27","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Investar Holding Corp
COLL US Equity,COLLEGIUM PHARMACEUTICAL INC,"1203066186,87","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,Collegium Pharmaceutical Inc
IAS US Equity,INTEGRAL AD SCIENCE HOLDING,"1545320711,89","50,00",Technology,Software & Tech Services,IT Services,IT Services,#N/A N/A,US,Integral Ad Science Holding Co
IAC US Equity,IAC INC,"2824742364,58","50,00",Communications,Media,Internet Media & Services,Internet Media & Services,Internet Advertising Portals,US,IAC Inc
FBLA US Equity,FB BANCORP INC,"228528009,08","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,FB Bancorp Inc
BDX US Equity,BECTON DICKINSON AND CO,"55892356455,00","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,Medication Monitor & Delivery,US,Becton Dickinson & Co
SANA US Equity,SANA BIOTECHNOLOGY INC,"837619243,09","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Sana Biotechnology Inc
TTWO US Equity,TAKE-TWO INTERACTIVE SOFTWRE,"42898548363,56","50,00",Communications,Media,Entertainment Content,Video Games,#N/A N/A,US,Take-Two Interactive Software
MVIS US Equity,MICROVISION INC,"340090317,48","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Electronics Components,Display Components,US,MicroVision Inc
TTEK US Equity,TETRA TECH INC,"9357361361,70","20,00",Industrials,Industrial Services,Engineering & Construction,Engineering Services,Environmental Engineering Svcs,US,Tetra Tech Inc
PRCT US Equity,PROCEPT BIOROBOTICS CORP,"2264939107,17","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,Surgical & Medical Instruments,US,PROCEPT BioRobotics Corp
ILMN US Equity,ILLUMINA INC,"15451460812,38","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,Life Science Equipment,US,Illumina Inc
DAL US Equity,DELTA AIR LINES INC,"39888617977,81","20,00",Industrials,Industrial Services,Transportation & Logistics,Airlines,Full Service Airline,US,Delta Air Lines Inc
HCA US Equity,HCA HEALTHCARE INC,"92104520327,45","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,Hospitals,US,HCA Healthcare Inc
COIN US Equity,COINBASE GLOBAL INC -CLASS A,"85935808038,27","40,00",Financials,Financial Services,Institutional Financial Svcs,Security & Cmdty Exchanges,#N/A N/A,US,Coinbase Global Inc
AXGN US Equity,AXOGEN INC,"712734760,73","35,00",Health Care,Health Care,Medical Equipment & Devices,Health Care Supplies,Surgical Appliances & Supplies,US,Axogen Inc
SLDP US Equity,SOLID POWER INC,"830282446,57","25,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Alternative Vehicle Parts,US,Solid Power Inc
DH US Equity,DEFINITIVE HEALTHCARE CORP,"559952567,82","35,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,Definitive Healthcare Corp
AACB US Equity,ARTIUS II ACQUISITION INC-A,"297822003,36",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Artius II Acquisition Inc
WSC US Equity,WILLSCOT HOLDINGS CORP,"4402575562,50","20,00",Industrials,Industrial Services,Industrial Support Services,Industrial Wholesale & Rental,Industrial Rental Services,US,WillScot Holdings Corp
DBX US Equity,DROPBOX INC-CLASS A,"7853679646,82","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Cloud & Virtualization Software,US,Dropbox Inc
OLED US Equity,UNIVERSAL DISPLAY CORP,"6744148555,46","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Discrete,US,Universal Display Corp
FNLC US Equity,FIRST BANCORP INC/ME,"290130008,03","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,First Bancorp Inc/The
WLFC US Equity,WILLIS LEASE FINANCE CORP,"1053927392,81","20,00",Financials,Financial Services,Specialty Finance,Commercial Finance,Transp Equip Finance & Leasing,US,Willis Lease Finance Corp
BZAI US Equity,BLAIZE HOLDINGS INC,"372492498,14","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,"Logic, Processors & App Specific",US,Blaize Holdings Inc
NOW US Equity,SERVICENOW INC,"185546397460,94","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,#N/A N/A,US,ServiceNow Inc
GERN US Equity,GERON CORP,"918744621,63","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Geron Corp
EDIT US Equity,EDITAS MEDICINE INC,"245482049,44","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Editas Medicine Inc
PLUS US Equity,EPLUS INC,"1918372687,95","45,00",Consumer Discretionary,Retail & Whsle - Discretionary,Wholesale - Discretionary,Consumer Elec & Applc Whslrs,Computer & Software Whslrs,US,ePlus Inc
ZEUS US Equity,OLYMPIC STEEL INC,"357763999,49","15,00",Materials,Materials,Steel,Metal Svc Centers & Processors,Steel Processors,US,Olympic Steel Inc
EBC US Equity,EASTERN BANKSHARES INC,"3356148091,24","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Eastern Bankshares Inc
MBUU US Equity,MALIBU BOATS INC - A,"693173120,30","25,00",Consumer Discretionary,Consumer Discretionary Products,Leisure Products,Recreational Vehicles,Leisure Boats & Yachts Building,US,Malibu Boats Inc
SCHL US Equity,SCHOLASTIC CORP,"649597373,37","50,00",Communications,Media,Publishing & Broadcasting,Publishing,Book Publishers,US,Scholastic Corp
RR US Equity,RICHTECH ROBOTICS INC-CL B,"331265699,31","20,00",Industrials,Industrial Products,Machinery,Factory Automation Equipment,Industrial Robot,US,Richtech Robotics Inc
PLPC US Equity,PREFORMED LINE PRODUCTS CO,"889231626,22","20,00",Industrials,Industrial Products,Electrical Equipment,Electrical Components,#N/A N/A,US,Preformed Line Products Co
EA US Equity,ELECTRONIC ARTS INC,"42325068291,77","50,00",Communications,Media,Entertainment Content,Video Games,Console & PC Games,US,Electronic Arts Inc
PLAB US Equity,PHOTRONICS INC,"1265566827,55","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,#N/A N/A,US,Photronics Inc
EEFT US Equity,EURONET WORLDWIDE INC,"3928252901,07","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,US,Euronet Worldwide Inc
TRMK US Equity,TRUSTMARK CORP,"2327433240,44","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Trustmark Corp
HSIC US Equity,HENRY SCHEIN INC,"8151661861,59","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,Health Care Distribution,US,Henry Schein Inc
HCKT US Equity,HACKETT GROUP INC/THE,"563694011,31","45,00",Industrials,Industrial Services,Commercial Support Services,Professional Services,Mgmt & Admin Consulting Svcs,US,Hackett Group Inc/The
WASH US Equity,WASHINGTON TRUST BANCORP,"546115155,52","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Washington Trust Bancorp Inc
